COD_DISTRIBUICAO;NM_DISTRIBUICAO
5998;Distribuidor 1
20214;Distribuidor 2
20294;Distribuidor 3
21238;Distribuidor 4
21322;Distribuidor 5
21682;Distribuidor 6
21934;Distribuidor 7
22254;Distribuidor 8
22398;Distribuidor 9
22462;Distribuidor 10
22542;Distribuidor 11
22666;Distribuidor 12
22674;Distribuidor 13
22690;Distribuidor 14
22706;Distribuidor 15
22734;Distribuidor 16
22750;Distribuidor 17
23462;Distribuidor 18
23526;Distribuidor 19
23742;Distribuidor 20
23750;Distribuidor 21
23874;Distribuidor 22
23938;Distribuidor 23
24206;Distribuidor 24
24530;Distribuidor 25
25718;Distribuidor 26
39106;Distribuidor 27
39334;Distribuidor 28
40486;Distribuidor 29
40574;Distribuidor 30
40598;Distribuidor 31
40642;Distribuidor 32
40986;Distribuidor 33
40994;Distribuidor 34
40998;Distribuidor 35
41194;Distribuidor 36
41750;Distribuidor 37
41766;Distribuidor 38
41826;Distribuidor 39
41966;Distribuidor 40
42082;Distribuidor 41
42866;Distribuidor 42
43622;Distribuidor 43
43786;Distribuidor 44
43790;Distribuidor 45
43802;Distribuidor 46
44342;Distribuidor 47
44354;Distribuidor 48
44358;Distribuidor 49
44366;Distribuidor 50
44370;Distribuidor 51
44374;Distribuidor 52
45046;Distribuidor 53
45226;Distribuidor 54
45666;Distribuidor 55
45674;Distribuidor 56
46146;Distribuidor 57
46286;Distribuidor 58
46346;Distribuidor 59
46830;Distribuidor 60
47042;Distribuidor 61
